"Ordernumber"	"Orderdate"	"ItemSKU"	"ItemOrdered"	"ItemPrice"	"CustomerGroupId"	"CustomerGroup"	"ShippingMethod"	"ShippingCost"	"PaymentMethod"	"CustomerID"	"CustomerPrefix"	"ItemName"	"OrderStatus"	"GranTotal"	"orders_order_discount_amount"	"orders_order_discount_canceled"	"orders_order_discount_invoiced"	"orders_order_discount_refunded"	"items_item_discount_amount"	"City"	"RegionCode"	"PostCode"	"Country"	"StoreID"
"4000051624"	"2020-09-01"	"5055278110970"	"1.0000"	"8.2900"	"1"	"UK - General"	"owsh1_car_s"	"1.9500"	"stripe_payments"	"15340"	""	"Lineage Gurus of Kadampa Buddhism - 14-piece card set"	"complete"	"14.9000"	"0.0000"	""	"0.0000"	""	"0.0000"	"Retford "	""	"DN22 6NZ "	"GB"	"4"
"4000051624"	"2020-09-01"	"5055278109141"	"1.0000"	"0.8300"	"1"	"UK - General"	"owsh1_car_s"	"1.9500"	"stripe_payments"	"15340"	""	"Atisha 2 - MINICARD"	"complete"	"14.9000"	"0.0000"	""	"0.0000"	""	"0.0000"	"Retford "	""	"DN22 6NZ "	"GB"	"4"
"4000051624"	"2020-09-01"	"5055278101756"	"1.0000"	"0.8300"	"1"	"UK - General"	"owsh1_car_s"	"1.9500"	"stripe_payments"	"15340"	""	"Precious Wheel - MINICARD"	"complete"	"14.9000"	"0.0000"	""	"0.0000"	""	"0.0000"	"Retford "	""	"DN22 6NZ "	"GB"	"4"
"4000051624"	"2020-09-01"	"5055278108830"	"1.0000"	"0.8300"	"1"	"UK - General"	"owsh1_car_s"	"1.9500"	"stripe_payments"	"15340"	""	"Medicine Buddha 2 - MINICARD"	"complete"	"14.9000"	"0.0000"	""	"0.0000"	""	"0.0000"	"Retford "	""	"DN22 6NZ "	"GB"	"4"
"5000048052"	"2020-09-01"	"9781913105006"	"1.0000"	"16.9500"	"12"	"US - General"	"usps_0_FCP"	"5.9000"	"paypal_express"	"3246"	""	"The Mirror of Dharma with Additions - PAPERBACK"	"complete"	"24.8200"	"0.0000"	""	"0.0000"	""	"0.0000"	"Port Jefferson Station"	"NY"	"11776"	"US"	"5"
"5000048053"	"2020-09-01"	"5055278103170"	"1.0000"	"12.9900"	"12"	"US - General"	""	"0.0000"	"paypal_express"	"12135"	""	"Songs of Liberation - MP3 Download"	"complete"	"12.9900"	"0.0000"	""	"0.0000"	""	"0.0000"	""	""	""	""	"5"
"25000041839"	"2020-09-01"	"9788492094332"	"1.0000"	"18000.0000"	"54"	"CL - General"	"owsh1_santiago_gratis"	"0.0000"	"mercadopago_custom_bank_transfer"	"45134"	""	"Guía del Paraíso de las Dakinis – En rústica"	"complete"	"36000.0000"	"0.0000"	""	"0.0000"	""	"0.0000"	"Santiago"	""	"7750000"	"CL"	"25"
"25000041839"	"2020-09-01"	"9788493314880"	"1.0000"	"18000.0000"	"54"	"CL - General"	"owsh1_santiago_gratis"	"0.0000"	"mercadopago_custom_bank_transfer"	"45134"	""	"Esencia del vajrayana – En rústica"	"complete"	"36000.0000"	"0.0000"	""	"0.0000"	""	"0.0000"	"Santiago"	""	"7750000"	"CL"	"25"
"11000041259"	"2020-09-01"	"5055278109318"	"1.0000"	"12.9900"	"12"	"US - General"	""	"0.0000"	"authorizenet_acceptjs"	"75532"	""	"El camino rápido al gran gozo – MP3"	"complete"	"12.9900"	"0.0000"	""	"0.0000"	""	"0.0000"	""	""	""	""	"11"
"10000041992"	"2020-09-01"	"5055278101084"	"2.0000"	"120.0000"	"25"	"MX - General"	"flatrate_flatrate"	"240.0000"	"adminpaymentmethod"	"74951"	""	"Liberación del dolor – Sadhana (impresa)"	"pending"	"1420.0000"	"0.0000"	""	""	""	"0.0000"	"Zapopan"	""	"45053"	"MX"	"10"
